,시도,시군구,계약종별,년도,월,전력 사용량
435,광주광역시,광산구,교육용,2022,1월,6862868.0
436,광주광역시,광산구,산업용,2022,1월,183027209.0
437,광주광역시,광산구,농사용,2022,1월,6459733.0
438,광주광역시,광산구,가로등,2022,1월,2701664.0
439,광주광역시,광산구,심 야,2022,1월,2765486.0
440,광주광역시,남구,주택용,2022,1월,29860567.0
441,광주광역시,남구,일반용,2022,1월,30547507.0
442,광주광역시,남구,교육용,2022,1월,3914402.0
443,광주광역시,남구,산업용,2022,1월,3845966.0
444,광주광역시,남구,농사용,2022,1월,1291574.0
445,광주광역시,남구,가로등,2022,1월,1162161.0
446,광주광역시,남구,심 야,2022,1월,2287030.0
447,대전광역시,동구,주택용,2022,1월,29878641.0
448,대전광역시,동구,일반용,2022,1월,39464842.0
449,대전광역시,동구,교육용,2022,1월,6273723.0
450,대전광역시,동구,산업용,2022,1월,8528741.0
451,대전광역시,동구,농사용,2022,1월,469214.0
452,대전광역시,동구,가로등,2022,1월,957491.0
453,대전광역시,동구,심 야,2022,1월,6574680.0
454,대전광역시,중구,주택용,2022,1월,30224161.0
455,대전광역시,중구,일반용,2022,1월,50062447.0
456,대전광역시,중구,교육용,2022,1월,3968623.0
457,대전광역시,중구,산업용,2022,1월,3030828.0
458,대전광역시,중구,농사용,2022,1월,289324.0
459,대전광역시,중구,가로등,2022,1월,898544.0
460,대전광역시,중구,심 야,2022,1월,5854225.0
461,대전광역시,서구,주택용,2022,1월,61509460.0
462,대전광역시,서구,일반용,2022,1월,100198765.0
463,대전광역시,서구,교육용,2022,1월,7649327.0
464,대전광역시,서구,산업용,2022,1월,5077201.0
465,대전광역시,서구,농사용,2022,1월,682789.0
466,대전광역시,서구,가로등,2022,1월,1709517.0
467,대전광역시,서구,심 야,2022,1월,5656928.0
468,대전광역시,대덕구,주택용,2022,1월,22565519.0
469,대전광역시,대덕구,일반용,2022,1월,37803119.0
470,대전광역시,대덕구,교육용,2022,1월,3374679.0
471,대전광역시,대덕구,산업용,2022,1월,179425794.0
472,대전광역시,대덕구,농사용,2022,1월,395309.0
473,대전광역시,대덕구,가로등,2022,1월,1025970.0
474,대전광역시,대덕구,심 야,2022,1월,2837476.0
475,대전광역시,유성구,주택용,2022,1월,47769885.0
476,대전광역시,유성구,일반용,2022,1월,132974316.0
477,대전광역시,유성구,교육용,2022,1월,24204108.0
478,대전광역시,유성구,산업용,2022,1월,82784636.0
479,대전광역시,유성구,농사용,2022,1월,2460854.0
480,대전광역시,유성구,가로등,2022,1월,2450557.0
481,대전광역시,유성구,심 야,2022,1월,4191700.0
482,울산광역시,북구,주택용,2022,1월,28236355.0
483,울산광역시,북구,일반용,2022,1월,31512456.0
484,울산광역시,북구,교육용,2022,1월,2587909.0
485,울산광역시,북구,산업용,2022,1월,147141781.0
486,울산광역시,북구,농사용,2022,1월,1735139.0
487,울산광역시,북구,가로등,2022,1월,1497624.0
488,울산광역시,북구,심 야,2022,1월,1321124.0
489,울산광역시,동구,주택용,2022,1월,19242025.0
490,울산광역시,동구,일반용,2022,1월,20706531.0
491,울산광역시,동구,교육용,2022,1월,2085022.0
492,울산광역시,동구,산업용,2022,1월,85794188.0
493,울산광역시,동구,농사용,2022,1월,116990.0
494,울산광역시,동구,가로등,2022,1월,790738.0
495,울산광역시,동구,심 야,2022,1월,627804.0
496,울산광역시,중구,주택용,2022,1월,28020135.0
497,울산광역시,중구,일반용,2022,1월,30299589.0
498,울산광역시,중구,교육용,2022,1월,1975496.0
499,울산광역시,중구,산업용,2022,1월,2908307.0
500,울산광역시,중구,농사용,2022,1월,290430.0
501,울산광역시,중구,가로등,2022,1월,1286843.0
